,addr_mask,chksum,code,gw,id,len,ptr,reserved,seq,time,ts_ori,ts_rx,ts_tx,type,unused
451,,64457.0,0.0,,17631.0,1514,,,20.0,1488942622.082433,,,,8.0,
452,,,,,,1514,,,,1488942622.082446,,,,,
453,,,,,,1514,,,,1488942622.082459,,,,,
454,,,,,,1514,,,,1488942622.082461,,,,,
455,,,,,,1514,,,,1488942622.082463,,,,,
456,,,,,,1514,,,,1488942622.082465,,,,,
457,,,,,,1514,,,,1488942622.082518,,,,,
458,,,,,,1514,,,,1488942622.082525,,,,,
459,,,,,,1514,,,,1488942622.082528,,,,,
460,,,,,,1514,,,,1488942622.082533,,,,,
461,,,,,,242,,,,1488942622.082535,,,,,
462,,970.0,0.0,,17631.0,1514,,,20.0,1488942622.082567,,,,0.0,
463,,,,,,1514,,,,1488942622.082577,,,,,
464,,,,,,1514,,,,1488942622.082578,,,,,
465,,,,,,1514,,,,1488942622.082579,,,,,
466,,,,,,1514,,,,1488942622.08258,,,,,
467,,,,,,1514,,,,1488942622.082581,,,,,
468,,,,,,1514,,,,1488942622.082582,,,,,
469,,,,,,1514,,,,1488942622.082583,,,,,
470,,,,,,1514,,,,1488942622.082585,,,,,
471,,,,,,1514,,,,1488942622.082586,,,,,
472,,,,,,242,,,,1488942622.082587,,,,,
473,,12907.0,0.0,,17631.0,1514,,,21.0,1488942623.106437,,,,8.0,
474,,,,,,1514,,,,1488942623.106451,,,,,
475,,,,,,1514,,,,1488942623.106455,,,,,
476,,,,,,1514,,,,1488942623.106457,,,,,
477,,,,,,1514,,,,1488942623.106459,,,,,
478,,,,,,1514,,,,1488942623.10646,,,,,
479,,,,,,1514,,,,1488942623.106491,,,,,
480,,,,,,1514,,,,1488942623.106494,,,,,
481,,,,,,1514,,,,1488942623.106503,,,,,
482,,,,,,1514,,,,1488942623.106506,,,,,
483,,,,,,242,,,,1488942623.106508,,,,,
484,,14955.0,0.0,,17631.0,1514,,,21.0,1488942623.106553,,,,0.0,
485,,,,,,1514,,,,1488942623.106564,,,,,
486,,,,,,1514,,,,1488942623.106565,,,,,
487,,,,,,1514,,,,1488942623.106567,,,,,
488,,,,,,1514,,,,1488942623.106568,,,,,
489,,,,,,1514,,,,1488942623.106569,,,,,
